,0,1,2,3,4
0,83,9,33,48,56
1,76,76,16,42,56
2,83,33,18,49,37
3,54,84,29,58,94
4,71,68,78,67,75
5,57,90,41,29,86
6,47,77,50,69,22
7,98,39,53,97,40
8,89,34,23,24,44
9,32,44,65,88,16
10,71,93,79,88,67
11,50,39,42,82,48
12,22,68,9,76,23
13,44,77,36,58,33
14,25,56,57,79,28
15,99,55,24,49,71
16,6,76,87,75,7
17,68,75,39,78,29
18,24,52,97,97,69
19,39,30,32,20,87
20,34,10,30,8,30
21,65,46,21,51,13
22,15,16,7,41,4
23,85,91,61,7,55
24,61,83,45,70,79
25,89,47,11,77,30
26,56,41,92,61,35
27,47,46,46,82,19
28,80,98,27,40,47
29,85,11,39,46,61
30,88,52,93,4,23
31,52,72,85,11,74
32,94,11,51,42,27
33,60,42,84,15,50
34,86,52,88,37,18
35,23,8,98,70,92
36,76,70,15,15,43
37,0,5,38,80,43
38,99,0,51,63,12
39,77,21,76,68,98
40,45,38,10,9,66
41,20,12,12,61,75
42,78,14,26,64,86
43,91,0,63,56,86
44,39,87,48,32,72
45,20,86,33,86,16
46,55,5,23,11,11
47,78,92,15,69,60
48,73,82,56,45,64
49,95,18,99,56,19
50,43,73,25,77,87
51,50,64,15,90,67
52,51,2,36,61,19
53,14,42,99,34,18
54,54,98,39,60,5
55,2,11,20,0,81
56,95,74,67,39,78
57,12,57,0,35,69
58,25,28,41,10,54
59,35,23,76,61,68
60,59,42,94,36,68
61,23,53,95,27,23
62,56,70,46,26,56
63,95,24,77,38,3
64,57,79,38,22,47
65,55,95,66,8,55
66,0,66,22,91,35
67,69,42,9,8,33
68,67,3,10,33,44
69,82,91,54,71,55
70,62,81,76,18,53
71,41,20,87,3,39
72,57,18,80,83,10
73,12,6,35,10,17
74,83,23,45,38,26
75,55,14,53,48,84
76,15,52,66,70,32
77,49,52,76,66,96
78,13,81,36,22,19
79,40,83,6,85,52
80,9,35,30,24,58
81,50,75,60,33,78
82,63,4,70,95,53
83,17,26,75,85,43
84,64,62,47,80,17
85,50,2,80,68,50
86,3,60,52,65,87
87,57,1,61,86,19
88,8,51,39,42,60
89,39,46,63,90,88
90,29,2,1,40,57
91,63,70,63,63,78
92,46,24,21,73,58
93,45,85,96,89,47
94,44,76,56,76,76
95,35,92,76,50,41
96,68,14,46,34,96
97,67,34,29,89,19
98,91,42,86,55,95
99,98,20,51,7,60
100,47,50,74,97,38
101,8,93,42,39,13
102,89,44,84,82,56
103,12,81,8,67,58
104,11,32,67,34,9
105,70,56,16,53,77
106,31,98,77,41,12
107,99,81,37,55,38
108,28,65,61,51,52
109,23,53,18,34,94
110,79,40,48,24,3
111,85,98,72,99,0
112,41,26,0,75,42
113,58,6,64,87,91
114,82,91,49,79,0
115,48,38,9,68,2
116,75,54,14,5,43
117,7,39,28,41,74
118,36,68,68,3,7
119,67,97,97,0,11
120,61,50,14,8,33
121,92,16,68,73,72
122,72,28,20,5,51
123,66,94,86,23,45
124,33,44,5,71,99
125,3,49,22,75,37
126,13,50,56,31,17
127,31,95,86,69,69
128,93,15,14,4,89
129,83,48,15,55,8
130,84,41,8,36,71
131,79,77,85,78,38
132,78,0,44,39,35
133,72,48,57,31,75
134,43,13,79,77,91
135,76,83,30,82,62
136,63,20,48,7,19
137,43,15,14,61,79
138,68,80,19,72,67
139,3,84,11,48,52
140,91,95,27,97,53
141,11,9,71,44,37
142,78,50,66,32,9
143,82,51,20,48,71
144,4,54,3,35,20
145,39,9,30,66,15
146,1,90,73,33,40
147,46,31,89,38,0
148,61,36,96,38,88
149,17,79,33,42,44
150,38,30,37,42,81
151,39,74,45,12,79
152,79,61,41,24,17
153,64,48,54,17,57
154,53,14,52,82,55
155,33,47,3,7,47
156,39,81,61,97,53
157,91,1,7,37,3
158,50,90,40,63,34
159,68,28,75,78,81
160,92,30,33,0,53
161,88,82,28,45,98
162,57,90,27,25,74
163,25,7,29,4,68
164,10,7,84,26,1
165,36,38,17,84,71
166,33,74,15,82,29
167,60,71,33,90,31
168,89,5,14,68,13
169,79,32,43,35,94
170,41,76,95,97,79
171,89,96,51,83,80
172,77,12,40,10,62
173,52,7,97,72,94
174,70,76,37,82,10
175,74,31,88,65,67
176,34,15,58,61,13
177,72,56,79,12,3
178,63,37,74,91,86
179,47,96,36,83,25
180,30,32,88,8,43
181,59,91,62,57,95
182,4,56,31,15,40
183,95,41,64,67,54
184,84,22,74,33,65
185,58,25,99,93,46
186,99,73,6,44,12
187,78,52,84,36,77
188,14,6,72,38,72
189,89,32,22,82,29
